fuzzer,protocol,seed,mutant,time,result
echidna,uniswap-v2,0,01,2978,1
foundry,uniswap-v2,0,01,26,1
echidna,uniswap-v2,0,02,86401,1
foundry,uniswap-v2,0,02,3473,1
foundry,uniswap-v2,0,03,22,1
echidna,uniswap-v2,0,03,479,1
echidna,uniswap-v2,0,04,9881,1
foundry,uniswap-v2,0,04,25833,0
echidna,uniswap-v2,0,05,86401,124
foundry,uniswap-v2,0,05,6971,1
foundry,uniswap-v2,0,06,20,1
echidna,uniswap-v2,0,06,401,1
foundry,uniswap-v2,0,07,23,1
echidna,uniswap-v2,0,07,122,1
echidna,uniswap-v2,0,08,318,1
foundry,uniswap-v2,0,08,24,1
echidna,uniswap-v2,0,09,849,1
foundry,uniswap-v2,0,09,22,1
echidna,uniswap-v2,0,10,86401,124
foundry,uniswap-v2,0,10,18508,1
foundry,uniswap-v2,0,11,7,1
echidna,uniswap-v2,0,11,98,1
foundry,uniswap-v2,0,12,8678,1
echidna,uniswap-v2,0,12,86400,124
foundry,uniswap-v2,1,01,21,1
echidna,uniswap-v2,1,01,157,1
echidna,uniswap-v2,1,02,86401,1
foundry,uniswap-v2,1,02,2006,1
echidna,uniswap-v2,1,03,168,1
foundry,uniswap-v2,1,03,20,1
echidna,uniswap-v2,1,04,86401,124
foundry,uniswap-v2,1,04,22723,1
echidna,uniswap-v2,1,05,86401,124
foundry,uniswap-v2,1,05,25960,0
foundry,uniswap-v2,1,06,21,1
echidna,uniswap-v2,1,06,134,1
foundry,uniswap-v2,1,07,21,1
echidna,uniswap-v2,1,07,1457,1
foundry,uniswap-v2,1,08,20,1
echidna,uniswap-v2,1,08,261,1
foundry,uniswap-v2,1,09,21,1
echidna,uniswap-v2,1,09,905,1
foundry,uniswap-v2,1,10,742,1
echidna,uniswap-v2,1,10,86401,124
foundry,uniswap-v2,1,11,8,1
echidna,uniswap-v2,1,11,104,1
echidna,uniswap-v2,1,12,86401,124
foundry,uniswap-v2,1,12,216,1
echidna,uniswap-v2,101051993584849178915136821395265346177868384823507754984078593667947067386055,01,323,1
foundry,uniswap-v2,101051993584849178915136821395265346177868384823507754984078593667947067386055,01,11,1
echidna,uniswap-v2,101051993584849178915136821395265346177868384823507754984078593667947067386055,02,162,1
foundry,uniswap-v2,101051993584849178915136821395265346177868384823507754984078593667947067386055,02,76,1
foundry,uniswap-v2,101051993584849178915136821395265346177868384823507754984078593667947067386055,03,7,1
echidna,uniswap-v2,101051993584849178915136821395265346177868384823507754984078593667947067386055,03,166,1
foundry,uniswap-v2,101051993584849178915136821395265346177868384823507754984078593667947067386055,04,27429,0
echidna,uniswap-v2,101051993584849178915136821395265346177868384823507754984078593667947067386055,04,159,1
echidna,uniswap-v2,101051993584849178915136821395265346177868384823507754984078593667947067386055,05,161,1
foundry,uniswap-v2,101051993584849178915136821395265346177868384823507754984078593667947067386055,05,25823,1
echidna,uniswap-v2,101051993584849178915136821395265346177868384823507754984078593667947067386055,06,148,1
foundry,uniswap-v2,101051993584849178915136821395265346177868384823507754984078593667947067386055,06,8,1
foundry,uniswap-v2,101051993584849178915136821395265346177868384823507754984078593667947067386055,07,8,1
echidna,uniswap-v2,101051993584849178915136821395265346177868384823507754984078593667947067386055,07,154,1
foundry,uniswap-v2,101051993584849178915136821395265346177868384823507754984078593667947067386055,08,8,1
echidna,uniswap-v2,101051993584849178915136821395265346177868384823507754984078593667947067386055,08,154,1
foundry,uniswap-v2,101051993584849178915136821395265346177868384823507754984078593667947067386055,09,7,1
echidna,uniswap-v2,101051993584849178915136821395265346177868384823507754984078593667947067386055,09,147,1
foundry,uniswap-v2,101051993584849178915136821395265346177868384823507754984078593667947067386055,10,1953,1
echidna,uniswap-v2,101051993584849178915136821395265346177868384823507754984078593667947067386055,10,5938,1
echidna,uniswap-v2,101051993584849178915136821395265346177868384823507754984078593667947067386055,11,127,1
foundry,uniswap-v2,101051993584849178915136821395265346177868384823507754984078593667947067386055,11,8,1
foundry,uniswap-v2,101051993584849178915136821395265346177868384823507754984078593667947067386055,12,34,1
echidna,uniswap-v2,101051993584849178915136821395265346177868384823507754984078593667947067386055,12,4514,1
echidna,uniswap-v2,110349606679412691172957834289542550319383271247755660854362242977991410020067,01,141,1
foundry,uniswap-v2,110349606679412691172957834289542550319383271247755660854362242977991410020067,01,7,1
echidna,uniswap-v2,110349606679412691172957834289542550319383271247755660854362242977991410020067,02,137,1
foundry,uniswap-v2,110349606679412691172957834289542550319383271247755660854362242977991410020067,02,295,1
echidna,uniswap-v2,110349606679412691172957834289542550319383271247755660854362242977991410020067,03,143,1
foundry,uniswap-v2,110349606679412691172957834289542550319383271247755660854362242977991410020067,03,7,1
echidna,uniswap-v2,110349606679412691172957834289542550319383271247755660854362242977991410020067,04,137,1
foundry,uniswap-v2,110349606679412691172957834289542550319383271247755660854362242977991410020067,04,526,1
echidna,uniswap-v2,110349606679412691172957834289542550319383271247755660854362242977991410020067,05,141,1
foundry,uniswap-v2,110349606679412691172957834289542550319383271247755660854362242977991410020067,05,7184,1
foundry,uniswap-v2,110349606679412691172957834289542550319383271247755660854362242977991410020067,06,6,1
echidna,uniswap-v2,110349606679412691172957834289542550319383271247755660854362242977991410020067,06,132,1
echidna,uniswap-v2,110349606679412691172957834289542550319383271247755660854362242977991410020067,07,136,1
foundry,uniswap-v2,110349606679412691172957834289542550319383271247755660854362242977991410020067,07,8,1
foundry,uniswap-v2,110349606679412691172957834289542550319383271247755660854362242977991410020067,08,6,1
echidna,uniswap-v2,110349606679412691172957834289542550319383271247755660854362242977991410020067,08,135,1
foundry,uniswap-v2,110349606679412691172957834289542550319383271247755660854362242977991410020067,09,8,1
echidna,uniswap-v2,110349606679412691172957834289542550319383271247755660854362242977991410020067,09,125,1
echidna,uniswap-v2,110349606679412691172957834289542550319383271247755660854362242977991410020067,10,3242,1
foundry,uniswap-v2,110349606679412691172957834289542550319383271247755660854362242977991410020067,10,16257,1
echidna,uniswap-v2,110349606679412691172957834289542550319383271247755660854362242977991410020067,11,98,1
foundry,uniswap-v2,110349606679412691172957834289542550319383271247755660854362242977991410020067,11,6,1
echidna,uniswap-v2,110349606679412691172957834289542550319383271247755660854362242977991410020067,12,1218,1
foundry,uniswap-v2,110349606679412691172957834289542550319383271247755660854362242977991410020067,12,2215,1
echidna,uniswap-v2,111414077815863400510004064629973595961579173665589224203503662149373724986687,01,1144,1
foundry,uniswap-v2,111414077815863400510004064629973595961579173665589224203503662149373724986687,01,22,1
echidna,uniswap-v2,111414077815863400510004064629973595961579173665589224203503662149373724986687,02,135,1
foundry,uniswap-v2,111414077815863400510004064629973595961579173665589224203503662149373724986687,02,12466,1
foundry,uniswap-v2,111414077815863400510004064629973595961579173665589224203503662149373724986687,03,7,1
echidna,uniswap-v2,111414077815863400510004064629973595961579173665589224203503662149373724986687,03,139,1
echidna,uniswap-v2,111414077815863400510004064629973595961579173665589224203503662149373724986687,04,135,1
foundry,uniswap-v2,111414077815863400510004064629973595961579173665589224203503662149373724986687,04,5693,1
foundry,uniswap-v2,111414077815863400510004064629973595961579173665589224203503662149373724986687,05,13248,1
echidna,uniswap-v2,111414077815863400510004064629973595961579173665589224203503662149373724986687,05,135,1
foundry,uniswap-v2,111414077815863400510004064629973595961579173665589224203503662149373724986687,06,6,1
echidna,uniswap-v2,111414077815863400510004064629973595961579173665589224203503662149373724986687,06,132,1
echidna,uniswap-v2,111414077815863400510004064629973595961579173665589224203503662149373724986687,07,125,1
foundry,uniswap-v2,111414077815863400510004064629973595961579173665589224203503662149373724986687,07,7,1
foundry,uniswap-v2,111414077815863400510004064629973595961579173665589224203503662149373724986687,08,7,1
echidna,uniswap-v2,111414077815863400510004064629973595961579173665589224203503662149373724986687,08,123,1
foundry,uniswap-v2,111414077815863400510004064629973595961579173665589224203503662149373724986687,09,7,1
echidna,uniswap-v2,111414077815863400510004064629973595961579173665589224203503662149373724986687,09,119,1
echidna,uniswap-v2,111414077815863400510004064629973595961579173665589224203503662149373724986687,10,76827,1
foundry,uniswap-v2,111414077815863400510004064629973595961579173665589224203503662149373724986687,10,6647,1
foundry,uniswap-v2,111414077815863400510004064629973595961579173665589224203503662149373724986687,11,9,1
echidna,uniswap-v2,111414077815863400510004064629973595961579173665589224203503662149373724986687,11,118,1
foundry,uniswap-v2,111414077815863400510004064629973595961579173665589224203503662149373724986687,12,3377,1
echidna,uniswap-v2,111414077815863400510004064629973595961579173665589224203503662149373724986687,12,10198,1
echidna,uniswap-v2,12396694973890998440467380340983585058878106250672390494374587083972727727730,01,304,1
foundry,uniswap-v2,12396694973890998440467380340983585058878106250672390494374587083972727727730,01,20,1
echidna,uniswap-v2,12396694973890998440467380340983585058878106250672390494374587083972727727730,02,124,1
foundry,uniswap-v2,12396694973890998440467380340983585058878106250672390494374587083972727727730,02,16064,1
foundry,uniswap-v2,12396694973890998440467380340983585058878106250672390494374587083972727727730,03,8,1
echidna,uniswap-v2,12396694973890998440467380340983585058878106250672390494374587083972727727730,03,129,1
foundry,uniswap-v2,12396694973890998440467380340983585058878106250672390494374587083972727727730,04,1114,1
echidna,uniswap-v2,12396694973890998440467380340983585058878106250672390494374587083972727727730,04,125,1
foundry,uniswap-v2,12396694973890998440467380340983585058878106250672390494374587083972727727730,05,923,1
echidna,uniswap-v2,12396694973890998440467380340983585058878106250672390494374587083972727727730,05,125,1
foundry,uniswap-v2,12396694973890998440467380340983585058878106250672390494374587083972727727730,06,6,1
echidna,uniswap-v2,12396694973890998440467380340983585058878106250672390494374587083972727727730,06,119,1
echidna,uniswap-v2,12396694973890998440467380340983585058878106250672390494374587083972727727730,07,119,1
foundry,uniswap-v2,12396694973890998440467380340983585058878106250672390494374587083972727727730,07,7,1
echidna,uniswap-v2,12396694973890998440467380340983585058878106250672390494374587083972727727730,08,116,1
foundry,uniswap-v2,12396694973890998440467380340983585058878106250672390494374587083972727727730,08,7,1
foundry,uniswap-v2,12396694973890998440467380340983585058878106250672390494374587083972727727730,09,8,1
echidna,uniswap-v2,12396694973890998440467380340983585058878106250672390494374587083972727727730,09,115,1
echidna,uniswap-v2,12396694973890998440467380340983585058878106250672390494374587083972727727730,10,8987,1
foundry,uniswap-v2,12396694973890998440467380340983585058878106250672390494374587083972727727730,10,26634,0
echidna,uniswap-v2,12396694973890998440467380340983585058878106250672390494374587083972727727730,11,95,1
foundry,uniswap-v2,12396694973890998440467380340983585058878106250672390494374587083972727727730,11,8,1
echidna,uniswap-v2,12396694973890998440467380340983585058878106250672390494374587083972727727730,12,80417,1
foundry,uniswap-v2,12396694973890998440467380340983585058878106250672390494374587083972727727730,12,641,1
echidna,uniswap-v2,1546678032441257452667456735582814959992782782816731922691272282333561699760,01,56,1
foundry,uniswap-v2,1546678032441257452667456735582814959992782782816731922691272282333561699760,01,23,1
echidna,uniswap-v2,1546678032441257452667456735582814959992782782816731922691272282333561699760,02,86401,1
foundry,uniswap-v2,1546678032441257452667456735582814959992782782816731922691272282333561699760,02,19117,1
foundry,uniswap-v2,1546678032441257452667456735582814959992782782816731922691272282333561699760,03,22,1
